Candidate,Party_ID,Party,Votes
FITIM SELIMI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,6026
FLORIN DRESHAJ,61,LËVIZJA VETËVENDOSJE!,511
GAZMEND MUHAXHERI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,17200
GAZMIR RACI,111,ADK - ALTERNATIVA DEMOKRATIKE E KOSOVËS,197
GORAN MILOŠEVIĆ,123,DEMOKRATSKA INICIJATIVA,215
GRADIMIR MIKIĆ,126,G.I.SRPSKA,1265
GZİM MAZREK,60,KOSOVA TÜRK BIRLIGI - KTB,130
HAFIR HOXHA,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,2910
HAJDAR BEQA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,5574
HAJZER IDRIZI,61,LËVIZJA VETËVENDOSJE!,387
HAKI RUGOVA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,10223
HAMDI HALITI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,502
HASAN KRASNIQI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,501
HASAN RASHITI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,189
HILMI HALIMI,89,AKR - ALEANCA KOSOVA E RE,171
HIVZI MUHARREMI,61,LËVIZJA VETËVENDOSJE!,1638
IBISH AHMETI,61,LËVIZJA VETËVENDOSJE!,1148
IBRAHIM HYSENI,89,AKR - ALEANCA KOSOVA E RE,1079
IDRIZ VEHAPI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,9609
IGOR MITIĆ,98,SOCIJALDEMOKRATIJA - SD,61
IMRI AHMETI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,10294
IRFAN CANA,66,INICIATIVA QYTETARE NDRYSHE RAHOVEC,75
ISA MUSTAFA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,36755
ISMAJL KURTESHI,61,LËVIZJA VETËVENDOSJE!,6863
ISMET ABDULLAHU,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1692
ISMET IBISHI,89,AKR - ALEANCA KOSOVA E RE,610
ISNI KILAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6402
ISUF MUSLIJA,76,ISUF MUSLIJA,59
IVAN REDŽIĆ,126,G.I.SRPSKA,2898
IZET ABDYLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,1165
IZET IBRAHIMI,107,INICIATIVA QYTETARE PËR DRENASIN,5614
IZMIR ZEQIRI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,207
KAQUSHA JASHARI,118,PSD - Partia Socialdemokrate e Kosovës,237
KAQUSHA JASHARI,118,PSD - PARTIA SOCIALDEMOKRATE E KOSOVËS,21
KORAB SEJDIU,89,AKR - ALEANCA KOSOVA E RE,5380
KRSTIMIR PANTIĆ,126,G.I.SRPSKA,2233
LABINOT HASHANI,61,LËVIZJA VETËVENDOSJE!,282
LABINOTË DEMI - MURTEZI,70,Partia e Drejtësisë - PD,1117
LABINOTË DEMI - MURTEZI,70,PARTIA E DREJTËSISË - PD,16
LUAN GOLA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,2926
LULZIM KABASHI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,6374
LULZIM LECI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,2495
LUTFI HAZIRI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,19465
MEHDI JONUZI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,5972
MEHMET BALLAZHI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,2010
MEHMET KRASNIQI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,3578
MILAN ARITONOVIĆ,134,SRPSKA NARODNA PARTIJA KOSOVA - SNPK,1149
MILAN STOJANOVIĆ,140,ZA EVROPSKO POMORAVLJE,1225
MIMOZA KUSARI-LILA,89,AKR - ALEANCA KOSOVA E RE,20160
MUHAMET HALITAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6392
MUHAREM SVARQA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,16422
MUHARREM SHABANI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,6801
MUSLI AHMETI,131,LËVIZJA SOCIALE E KOSOVËS,119
MYHEDIN SYLQA,70,Partia e Drejtësisë - PD,983
MYHEDIN SYLQA,70,PARTIA E DREJTËSISË - PD,15
NAIM FETAHU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,15321
NAIM ISMAJLI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6147
NASER BRESA,89,AKR - ALEANCA KOSOVA E RE,896
NASER GRAJCEVCI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,3112
NAZMI SIJARINA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,103
NEBOJŠA ARSIĆ,141,SRPSKA GRADJANSKA INICIJATIVA,564
NENAD CVETKOVIĆ,130,Samostalna Liberalna Stranka - SLS,1223
NENAD CVETKOVIĆ,130,SAMOSTALNA LIBERALNA STRANKA - SLS,16
NENAD RADOSAVLJEVIĆ,132,NARODNA PRAVDA,209
NEXHAT DEMAKU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,14637
NEXHAT ISUFI,74,BD - BASHKIMI DEMOKRATIK,544
NEXHAT LLUMNICA,121,Lëvizja Për Bashkim - LB,350
NEXHAT LLUMNICA,121,LËVIZJA PËR BASHKIM - LB,11
NEXHMEDIN ARIFI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,4959
NEXHMEDIN SPAHIU,110,TË PAVARURIT E MITROVICËS,833
NIMON TOFAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,181
NISRET HYSENAJ,71,NISRET HYSENAJ,376
NUHIJA TAIROVCI,50,VAKAT - KOALICIJA VAKAT,1558
OBRAD ŠOŠIĆ,139,NARODNA INICIJATIVA,333
OLIVER IVANOVIĆ,41,GI SDP - OLIVER IVANOVIC,1705
OSMAN SHAHINI,121,Lëvizja Për Bashkim - LB,592
OSMAN SHAHINI,121,LËVIZJA PËR BASHKIM - LB,6
PAJTIM KOSOVA,70,Partia e Drejtësisë - PD,894
PAJTIM KOSOVA,70,PARTIA E DREJTËSISË - PD,45
PAL LEKAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,16376
PERICA ANĐELKOVIĆ,57,GI ZA KOSOVSKO POMORAVLJE,133
PREND BUZHALA,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),731
PREND BUZHALA,55,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS (PSHDK),15
QAZIM XANI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,277
QEMAJL MUSTAFA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12194
QERKIN VESELI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,299
RABIT KONJUFCA,61,LËVIZJA VETËVENDOSJE!,858
RADOJICA ÐOKIĆ,130,Samostalna Liberalna Stranka - SLS,526
RADOJICA ÐOKIĆ,130,SAMOSTALNA LIBERALNA STRANKA - SLS,23
RADOMIR VELIČKOVIĆ,41,GI SDP - OLIVER IVANOVIC,244
RAGIP BEGAJ,109,INICIATIVA QYTETARE PËR MALISHEVËN,10442
RAMADAN MUJA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,24791
RAMË DRESHAJ,131,LËVIZJA SOCIALE E KOSOVËS,125
RAMË VATAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,8694
RAMIZ POLACI,89,AKR - ALEANCA KOSOVA E RE,404
RANKO MAKIĆ,130,Samostalna Liberalna Stranka - SLS,213
RANKO MAKIĆ,130,SAMOSTALNA LIBERALNA STRANKA - SLS,8
RASIM SELMANAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,8669
REFIK RAMAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6722
REMZI SELIMI,121,Lëvizja Për Bashkim - LB,362
REMZI SELIMI,121,LËVIZJA PËR BASHKIM - LB,11
REXHEP KADRIU,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,4620
REXHEP PEPSHI,61,LËVIZJA VETËVENDOSJE!,316
RIFAT DEMAKU,61,LËVIZJA VETËVENDOSJE!,732
RIFAT KRYEZIU,70,Partia e Drejtësisë - PD,113
RIFAT KRYEZIU,70,PARTIA E DREJTËSISË - PD,1
RUFKI SUMA,46,RUFKI SUMA,2864
SAFET KUŠI,64,CDU - CENTAR DEMOKRATSKE UNIJE,2145
SALI ASLLANAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,10431
SALI SALIHU,47,IQ GRUPIMI TRADICIONAL SHQIPTAR,215
SALIH MORINA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6529
SALIH SALIHU,61,LËVIZJA VETËVENDOSJE!,4547
SALIM JENUZI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,5096
SAMI LUSHTAKU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,17825
SAŠA MARINKOVIĆ,116,NARODNO JEDINSTVO,126
SAŠA MILOŠEVIĆ,52,OPSTANAK GRADJANSKA INICIJATIVA,827
SAŠA MIRKOVIĆ,130,Samostalna Liberalna Stranka - SLS,581
SAŠA MIRKOVIĆ,130,SAMOSTALNA LIBERALNA STRANKA - SLS,3
SEJDULLA KADRIU,72,INICIATIVA QYTETARE LËVIZJA VATRA,665
SELAMI SAITI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,873
SELIM REKA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,2008
SELMAN SYLEJMANI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,79
SHABAN ADEMI,89,AKR - ALEANCA KOSOVA E RE,409
SHABAN DRAGAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1039
SHABAN HASI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,926
SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6155
SHASIVAR HAXHIJAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,3109
SHPEND AHMETI,61,LËVIZJA VETËVENDOSJE!,27415
SHUKRI BUJA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,10575
SHUKRI KLINAKU,121,Lëvizja Për Bashkim - LB,1851
SHUKRI KLINAKU,121,LËVIZJA PËR BASHKIM - LB,17
SINAN EJUPI,89,AKR - ALEANCA KOSOVA E RE,352
SLADJAN KOSTIĆ,83,GRAÐANSKA INICIJATIVA ZAJEDNO,166
SLOBODAN DENIČ,42,GRAÐANSKA INICIJATIVA SIMONIDA,50
SMAJL LATIFI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,8169
SOKOL BASHOTA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,7978
SOKOL HALITI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,7588
SRDJAN JOVANOVIĆ,124,BUDUCNOST ZA NOVO BRDO,92
SRDJAN POPOVIĆ,130,Samostalna Liberalna Stranka - SLS,1383
SRDJAN POPOVIĆ,130,SAMOSTALNA LIBERALNA STRANKA - SLS,61
SREĆKO SPASIĆ,126,G.I.SRPSKA,714
STEVAN VULOVIĆ,126,G.I.SRPSKA,2126
SVETISLAV IVANOVIĆ,126,G.I.SRPSKA,1401
TAHIR ÇAKA,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,2741
TEUTA HASANI,89,AKR - ALEANCA KOSOVA E RE,431
TOMISLAV STANKOVIĆ,79,ZAJEDNICKA BUDUCNOST NOVO BRDO,185
VALON MURATI,121,Lëvizja Për Bashkim - LB,1447
VALON MURATI,121,LËVIZJA PËR BASHKIM - LB,18
VEHBI SADIKU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,2431
VESEL NEZIRI,70,Partia e Drejtësisë - PD,383
VESEL NEZIRI,70,PARTIA E DREJTËSISË - PD,19
VISAR ARIFAJ,120,Partia e Fortë - PF,1327
VISAR ARIFAJ,120,PARTIA E FORTË - PF,17
XHAFER GASHI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,3088
XHAVIT ZARIQI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,5669
XHELAL KRASNIQI,70,Partia e Drejtësisë - PD,300
XHELAL KRASNIQI,70,PARTIA E DREJTËSISË - PD,6
XHELAL REXHEPI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,328
XHEMAJL PLLANA,61,LËVIZJA VETËVENDOSJE!,3383
XHEMSHIR RASHITI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1187
XHEMSHIT VOKRRI,61,LËVIZJA VETËVENDOSJE!,1759
XHEVDET HASANMETAJ,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,1078
XHEVXHET TAHIRI,94,BALLI KOMBËTAR I KOSOVËS - BKK,63
YLBER ISLAMI,61,LËVIZJA VETËVENDOSJE!,1180
YLL ISUFI,51,YLL ISUFI,143
ZAFIR BERISHA,74,BD - BASHKIMI DEMOKRATIK,8595
ZEKË ZEKA,61,LËVIZJA VETËVENDOSJE!,108
ZENUN SHALA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,823
ZORAN KRČMAROVIĆ,58,ZA ZAJEDNICKU BUDUCNOST KLOKOT,70
ZYLBEAR HASALLARI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,358
