id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
2,0207C,0207C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,173,Gjakovë
2,0207C,0207C/01R,144,LËVIZJA VETËVENDOSJE!,69,Gjakovë
2,0207C,0207C/03D,144,LËVIZJA VETËVENDOSJE!,49,Gjakovë
2,0207C,0207C/03D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,186,Gjakovë
2,0207C,0207C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,209,Gjakovë
2,0208C,0208C/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,166,Gjakovë
2,0208C,0208C/02R,144,LËVIZJA VETËVENDOSJE!,26,Gjakovë
2,0208C,0208C/03R,144,LËVIZJA VETËVENDOSJE!,6,Gjakovë
2,0208C,0208C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,188,Gjakovë
2,0208C,0208C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,183,Gjakovë
2,0208C,0208C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,178,Gjakovë
2,0208C,0208C/01R,144,LËVIZJA VETËVENDOSJE!,33,Gjakovë
2,0208C,0208C/04D,144,LËVIZJA VETËVENDOSJE!,27,Gjakovë
2,0209C,0209C/02D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,164,Gjakovë
2,0209C,0209C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,136,Gjakovë
2,0209C,0209C/02D,144,LËVIZJA VETËVENDOSJE!,17,Gjakovë
2,0209C,0209C/01R,144,LËVIZJA VETËVENDOSJE!,22,Gjakovë
2,0210C,0210C/04D,144,LËVIZJA VETËVENDOSJE!,50,Gjakovë
2,0210C,0210C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,157,Gjakovë
2,0210C,0210C/01R,144,LËVIZJA VETËVENDOSJE!,41,Gjakovë
2,0210C,0210C/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,142,Gjakovë
2,0210C,0210C/02R,144,LËVIZJA VETËVENDOSJE!,43,Gjakovë
2,0210C,0210C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,154,Gjakovë
2,0210C,0210C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,123,Gjakovë
2,0210C,0210C/03R,144,LËVIZJA VETËVENDOSJE!,28,Gjakovë
2,0211C,0211C/02D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,154,Gjakovë
2,0211C,0211C/02D,144,LËVIZJA VETËVENDOSJE!,23,Gjakovë
2,0211C,0211C/01R,144,LËVIZJA VETËVENDOSJE!,33,Gjakovë
2,0211C,0211C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,211,Gjakovë
2,0212C,0212C/05R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,122,Gjakovë
2,0212C,0212C/01R,144,LËVIZJA VETËVENDOSJE!,30,Gjakovë
2,0212C,0212C/04R,144,LËVIZJA VETËVENDOSJE!,84,Gjakovë
2,0212C,0212C/03R,144,LËVIZJA VETËVENDOSJE!,96,Gjakovë
2,0212C,0212C/06D,144,LËVIZJA VETËVENDOSJE!,60,Gjakovë
2,0212C,0212C/04R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,129,Gjakovë
2,0212C,0212C/02R,144,LËVIZJA VETËVENDOSJE!,86,Gjakovë
