Candidate,Gender,Party_ID,Party,Acronym,Votes
LORIK LIPOVECI,M,16,LËVIZJA VETËVENDOSJE!,,2872
LUAN DINAJ,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,621
LUAN GOLA,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,2984
LULE BERISHA ZABELAJ,F,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,382
LULJETA HAJRA,F,19,PARTIA EUROATLANTIKE E KOSOVËS,,113
LULJETA SHABAJ,F,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,99
LULJETA VESELAJ GUTAJ,F,2,PARTIA DEMOKRATIKE E KOSOVËS,,3440
LULJETE BERISHA,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,937
LULZIM BAJRAMI,M,15,FJALA,,105
LULZIM ISLAMI,M,15,FJALA,,88
LULZIM KABASHI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,3719
LULZIM SHOSHI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,2359
LUMIR ABDIXHIKU,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,29531
LUMTURIJE BUCA,F,20,KOSOVAKI NEVI ROMANI PARTIA,,12
MAGBULE SHKODRA,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,3890
MAHİR YAGCİLAR,M,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,2851
MAKFIRETE OSMANI,F,1,PARTIA LIBERALE EGJIPTIANE,,31
MANE MYRTAJ,F,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,32
MANUELLA KONI,F,19,PARTIA EUROATLANTIKE E KOSOVËS,,72
MARIGONA GECI,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,17842
MARQE SELMANAJ,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,1603
MEFAIL BAJQINOVCI,M,16,LËVIZJA VETËVENDOSJE!,,14574
MEHDI THAQI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,592
MEJREME BERISHA,F,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,12
MELIHATE TËRMKOLLI,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3697
MELISA AZIZOVIC,F,8,NOVA DEMOKRATSKA STRANKA,,241
MEMED VELIJI,M,8,NOVA DEMOKRATSKA STRANKA,,361
MEMIŠ BIRDAINI,M,14,KOALICIJA VAKAT,,706
MEMLI KRASNIQI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,11000
MENTOR HYSENI,M,16,LËVIZJA VETËVENDOSJE!,,5018
MERDŽAN OSMANI,M,8,NOVA DEMOKRATSKA STRANKA,,525
MERGIM LUSHTAKU,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,18414
MERGIM MESTANI,M,16,LËVIZJA VETËVENDOSJE!,,2352
MERIME BELULI,F,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,15
MERITA DERVISHI,F,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,466
MERITA MAKOLLI,F,2,PARTIA DEMOKRATIKE E KOSOVËS,,3085
MERSIHA ADROVIĆ,F,14,KOALICIJA VAKAT,,269
MERVAN REXHEPI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,546
METULLAHE BAJRAMI,F,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,43
MEVLYDE HYSENI,F,16,LËVIZJA VETËVENDOSJE!,,4194
MEXHIDE MJAKU TOPALLI,F,2,PARTIA DEMOKRATIKE E KOSOVËS,,5895
MEXHIT BERISHA,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,30
MIGJEN KELMENDI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,2687
MIGJEN SHALA,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,1985
MIKETE HAJDARI,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,2622
MILAIM BERISHA,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,2048
MILAIM KOSUMI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,300
MILAIM ZEKA,M,19,PARTIA EUROATLANTIKE E KOSOVËS,,802
MILAN JOKSIMOVIĆ,M,25,SRPSKA LISTA,,4798
MILAN KOSTIĆ,M,25,SRPSKA LISTA,,6266
MILAZIM SHALA,M,1,PARTIA LIBERALE EGJIPTIANE,,78
MILENA ZDRAVKOVIĆ,F,11,SAMOSTALNA LIBERALNA STRANKA,,339
MILJANA NIKOLIĆ,F,25,SRPSKA LISTA,,13769
MILOŠ PEROVIĆ,M,25,SRPSKA LISTA,,16118
MIMOZA KUSARI LILA,F,16,LËVIZJA VETËVENDOSJE!,,22729
MIMOZA SHAHINI,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,4421
MIMOZA SHALA,F,16,LËVIZJA VETËVENDOSJE!,,4884
MINIRE GUXHOLLI,F,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,32
MIRELA DERVIŠEVIĆ,F,8,NOVA DEMOKRATSKA STRANKA,,181
MIRJANA NIKOLIC,F,25,SRPSKA LISTA,,917
MIRJETA GASHI,F,15,FJALA,,40
MIRJETA KALLUDRA,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,5660
MIRJETA RUKOLLI,F,2,PARTIA DEMOKRATIKE E KOSOVËS,,3674
MIRLINDA HOTI,F,1,PARTIA LIBERALE EGJIPTIANE,,552
MIRLINDA SADIKU,F,16,LËVIZJA VETËVENDOSJE!,,3577
MIRLINDA SOPI KRASNIQI,F,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,4085
MIROSLAV STOLIĆ,M,11,SAMOSTALNA LIBERALNA STRANKA,,214
MIRSAD BERISHA,M,1,PARTIA LIBERALE EGJIPTIANE,,454
MIRSAD HODŽIC,M,4,STRANKA DEMOKRATSKE AKCIJE,,60
MIRSAD TAHIRI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,130
MIRZET DŽOGOVIĆ,M,14,KOALICIJA VAKAT,,493
MONE HOTI,F,1,PARTIA LIBERALE EGJIPTIANE,,38
MRIKA THAÇI,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,1234
MUAMER SULEJMANI,M,13,JEDINSTVENA GORANSKA PARTIJA,,52
MUFERA SRBICA ŞINIK,F,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,2415
MUHAMET BALIU,M,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,73
MUHAMET BOJNIKU,M,15,FJALA,,13
MUHAMET GASHI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,885
MUHAMET GJOKA,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,3153
MUHAMET HAMITI,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,4140
MUHAMET KELMENDI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,2109
MUHAMET MEHMETI,M,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,88
MUHAMETALLI MERGJOLLAR,M,18,PARTIA ROME E BASHKUAR E KOSOVËS,,182
MUHAREM SVARQA,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,6354
MUHARREM ASLLANI,M,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,237
MUHARREM NITAJ,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,2538
MURAT BACA,M,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,132
MURAT CUFTA,M,13,JEDINSTVENA GORANSKA PARTIJA,,50
MURSELJ HALJILJI,M,23,GRAÐANSKA İNİCİJATİVA GORE,,463
MUSA DERVISHAJ,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,1246
MUSA FETAHAJ,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,224
MUSA KRASNIQI,M,15,FJALA,,345
MUSLI FERIZAJ,M,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,22
MUSTAFA BERISHA,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,67
MUSTAFA GRAINCA,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,4310
MUSTAFË HAZIRI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,183
MUSTAFË MYRTAJ,M,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,364
MYRVETE SALIHU,F,15,FJALA,,35
MYZEJENE SELMANI,F,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,1662
NAIL PINDUK,M,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,446
NAIM ASLLANI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,527
NAIM BAZAJ,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,2354
NAIM FETAHU,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,5168
NAIM ISMAJLI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,4290
NAIME OSMANI MUQA,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,1987
NASER PAJAZITI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,932
NASER RUGOVA,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,6303
NATYRA KUÇI,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,4471
NAZIM ASLANI,M,14,KOALICIJA VAKAT,,151
NDERIM SEJDIU,M,15,FJALA,,224
NEBOJŠA JAKOVLJEVIC,M,11,SAMOSTALNA LIBERALNA STRANKA,,454
NEDŽAD NIKOČEVIĆ,M,14,KOALICIJA VAKAT,,34
NEDŽAD PEPIĆ,M,8,NOVA DEMOKRATSKA STRANKA,,141
NEDŽAD UGLJANIN,M,14,KOALICIJA VAKAT,,130
NEDŽIP ŠEMSIDINI,M,7,POKRET ZA GORA,,66
NEGJMEDIN BAJRAMI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,1569
NEHAT MAXHUNI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,1700
NEIM SAHTIJARI,M,13,JEDINSTVENA GORANSKA PARTIJA,,43
NENAD RAŠIĆ,M,10,SLOBODA,,441
NERMINA ALITI,F,8,NOVA DEMOKRATSKA STRANKA,,182
NEVZAD ISUFI,M,16,LËVIZJA VETËVENDOSJE!,,5017
NEXHAT REXHA,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3004
NEXHMI MUÇIQI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,929
NEXHMI RUDARI,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,5943
NEZIR BEJTA,M,16,LËVIZJA VETËVENDOSJE!,,1354
NIJAZI ISAKU,M,16,LËVIZJA VETËVENDOSJE!,,4208
NILLHAD BEQIRI,M,14,KOALICIJA VAKAT,,230
NISTRET TATARI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,250
NORA KELMENDI,F,16,LËVIZJA VETËVENDOSJE!,,2498
NOVITET NEZAJ,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,2006
NUMAN BALIĆ,M,4,STRANKA DEMOKRATSKE AKCIJE,,553
NURIJE BALIU,F,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,20
NUSRET ÇUBRELI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,513
NUSRET SALIJAJ,M,1,PARTIA LIBERALE EGJIPTIANE,,191
ÖMER AGALAR,M,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,547
OMER DACIĆ,M,14,KOALICIJA VAKAT,,195
ORAN LOPAR,M,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,1122
OSMAN BERISHA,M,18,PARTIA ROME E BASHKUAR E KOSOVËS,,61
PAL LEKAJ,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,10323
PASHK BUZHALA,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,2649
PETRIT GREZDA,M,19,PARTIA EUROATLANTIKE E KOSOVËS,,41
PETRIT HAJDARI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,7590
PRANVERA EJUPI HAJZERAJ,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,1014
QAMILE MORINA,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,877
QAZIM RAHMANI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,1060
QAZIM SALIUKA,M,19,PARTIA EUROATLANTIKE E KOSOVËS,,33
QELO NEZIRI,M,1,PARTIA LIBERALE EGJIPTIANE,,228
QEMAIL MAXHUNI,M,17,KOSOVA DEMOKRATIK TÜRK PARTISI,,71
QEMAJL ALIU,M,16,LËVIZJA VETËVENDOSJE!,,3923
QENDRESË XHEMA,F,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,77
QERIM EMINI,M,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,121
QIBRIJE HOXHA,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,1875
RADA TRAJKOVIĆ,F,10,SLOBODA,,234
RADOJICA MRDJINAC,M,11,SAMOSTALNA LIBERALNA STRANKA,,358
RAFET KRASNIQI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,80
RAFET RAMA,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,7379
RAFIT KURTIŠI,M,14,KOALICIJA VAKAT,,285
RAIF QELA,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,3757
RAMADAN HOTI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,3733
