id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
1,0110C,0110C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0104C,0104C/03D,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0105C,0105C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0111C,0111C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0106C,0106C/03D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,CB101,CB101/001,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,BM101,BM101/001,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0101C,0101C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0111C,0111C/03D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0108C,0108C/05D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0106C,0106C/02R,21,BK - BALLI KOMBËTAR I KOSOVËS,1,Deçan
1,0107C,0107C/02D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0103C,0103C/01R,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0105C,0105C/05D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0110C,0110C/03R,21,BK - BALLI KOMBËTAR I KOSOVËS,2,Deçan
1,0101X,0101X/07D,21,BK - BALLI KOMBËTAR I KOSOVËS,0,Deçan
1,0101C,0101C/05D,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
1,0108C,0108C/03R,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
1,0102C,0102C/02R,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
1,0106C,0106C/01R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0112C,0112C/02D,31,NISMA - NISMA PËR KOSOVËN,7,Deçan
1,0101C,0101C/03R,31,NISMA - NISMA PËR KOSOVËN,6,Deçan
1,0101X,0101X/06R,31,NISMA - NISMA PËR KOSOVËN,12,Deçan
1,0101X,0101X/03R,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
1,0108C,0108C/05D,31,NISMA - NISMA PËR KOSOVËN,2,Deçan
1,0103C,0103C/03R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0110C,0110C/04D,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
1,0108C,0108C/02R,31,NISMA - NISMA PËR KOSOVËN,5,Deçan
1,0105C,0105C/02R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0106C,0106C/03D,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
1,0101X,0101X/05R,31,NISMA - NISMA PËR KOSOVËN,6,Deçan
1,0101C,0101C/04R,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
1,0103C,0103C/02R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0102C,0102C/04R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0103C,0103C/04D,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0105C,0105C/01R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0101X,0101X/04R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0106C,0106C/02R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0112C,0112C/01R,31,NISMA - NISMA PËR KOSOVËN,26,Deçan
1,0102C,0102C/03R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0113C,0113C/01R,31,NISMA - NISMA PËR KOSOVËN,4,Deçan
1,0101X,0101X/01R,31,NISMA - NISMA PËR KOSOVËN,10,Deçan
1,0105C,0105C/04R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0114C,0114C/01R,31,NISMA - NISMA PËR KOSOVËN,0,Deçan
1,0108C,0108C/04R,31,NISMA - NISMA PËR KOSOVËN,5,Deçan
1,0110C,0110C/03R,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
1,0110C,0110C/01R,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
1,0104C,0104C/02R,31,NISMA - NISMA PËR KOSOVËN,1,Deçan
