id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
36,LEONARD SHALA,M,25,Lëvizja VETËVENDOSJE!,,1,Partesh
36,LEONORA BUNJAKU,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,LEONORA SHABANI-BAJRAKTARI,F,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,LEUTRIM SHALA,M,19,FJALA,,0,Partesh
36,LEVENT BUŞ,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,0,Partesh
36,LEVENT HYDAVERDI,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,0,Partesh
36,LIBURN ALIU,M,25,Lëvizja VETËVENDOSJE!,,3,Partesh
36,LIDON PAJAZITI,M,20,KOALICIJA VAKAT,,0,Partesh
36,LIMAN ZEQIRI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,LIMON RAMADANI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Partesh
36,LINDA SELMANI,F,1,JEDINSTVENA GORANSKA PARTIJA,,0,Partesh
36,LIRIDON HALILI,M,19,FJALA,,0,Partesh
36,LIRIJE KAJTAZI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,3,Partesh
36,LIRIJONË DULI,F,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,LJILJANA STOJANOVIĆ,F,21,GI. ZA PROSPERITET KOSOVA,,0,Partesh
36,LUAN HOXHA,M,25,Lëvizja VETËVENDOSJE!,,1,Partesh
36,LUAN SHLLAKU,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,LULJETA VESELAJ GUTAJ,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,2,Partesh
36,LULZIM BERISHA,M,18,PARTIA DEMOKRATIKE E UNITETIT,,0,Partesh
36,LULZIM ISLAMI,M,19,FJALA,,0,Partesh
36,LULZIM KABASHI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,LUMIR ABDIXHIKU,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,1,Partesh
36,LUTFI BILALLI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,LUTFI ZHARKU,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,MAGBULE SHKODRA,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,MAHİR YAGCİLAR,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,0,Partesh
36,MAJDA NEZIRI,F,22,NOVA DEMOKRATSKA STRANKA,,0,Partesh
36,MALA SHALA,M,18,PARTIA DEMOKRATIKE E UNITETIT,,0,Partesh
36,MALIĆ SKENDERI,M,22,NOVA DEMOKRATSKA STRANKA,,0,Partesh
36,MALINA IMERI,F,20,KOALICIJA VAKAT,,0,Partesh
36,MANE MYRTAJ,F,14,PARTIA LIBERALE EGJIPTIANE,,0,Partesh
36,MANUELLA KONI,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
