Candidate,Party_ID,Party,Acronym,Votes
KADRI BALAJ,31,NISMA - NISMA PËR KOSOVËN,,740
KAJTAZ GASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,468
KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,2695
LIRAK ÇELAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,5128
LULZIM KABASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,5814
LUTFI BILALLI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1591
LUTFI HAZIRI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,19755
MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,2636
MEHDI SALI,38,MEHDI SALI,,197
MEHMET KRASNIQI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,3244
MEHMET MEHMETI,30,ALTERNATIVA,,187
MERVAN REXHEPI,31,NISMA - NISMA PËR KOSOVËN,,106
MEXHID KRASNIQI,31,NISMA - NISMA PËR KOSOVËN,,234
MIMOZA KUSARI LILA,30,ALTERNATIVA,,13860
MUHAREM SVARQA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,15975
MURSEL GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6116
MUSA DERVISHAJ,34,AKR - ALEANCA KOSOVA E RE,,1474
MYTAHER HASKUKA,10,LËVIZJA VETËVENDOSJE!,,14967
NAIM ISMAJLI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,4983
NASER MORINA,44,PD - PARTIA E DREJTËSISË,,299
NASER SHABANI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,57
NASUF ALIU,34,AKR - ALEANCA KOSOVA E RE,,2442
NEHAT REXHEPI,12,IQ INICIATIVA SHQIPËTARE PËR KLLOKOT,,299
NENAD CVETKOVIĆ,67,GI GRAÐANSKA INICIJATIVA NARODNA SLOGA,,1059
NENAD RADOSAVLJEVIĆ,76,GI NARODNA PRAVDA,,166
NEXHAT KRASNIQI,13,NEXHAT KRASNIQI,,227
NEXHMEDIN RAMADANI,46,FJALA,,345
NEZIR GASHI,31,NISMA - NISMA PËR KOSOVËN,,763
NYSRET KELMENDI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,1466
NYSTRET PRETENI,46,FJALA,,188
OLIVER IVANOVIĆ,57,GI SDP - OLIVER IVANOVIĆ,,1475
OSMAN KRASNIQI,34,AKR - ALEANCA KOSOVA E RE,,423
PETRIT SINANI,34,AKR - ALEANCA KOSOVA E RE,,553
QAZIM RAHMANI,77,PAI - PARTIA E ASHKANLIVE PËR INTEGRIM,,548
QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,357
QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,5970
RAGIP BEGAJ,31,NISMA - NISMA PËR KOSOVËN,,9015
RAMADAN HOTI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,3506
RAMIZ LLADROVCI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,14074
RAMUSH MEHMETI,34,AKR - ALEANCA KOSOVA E RE,,348
RESHAT NURBOJA,30,ALTERNATIVA,,286
REXHEP KADRIU,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,3873
RIFAT DERI,30,ALTERNATIVA,,271
RİZA KRUEZİ,20,RİZA KRUEZİ,,58
RUFKI SUMA,39,RUFKI SUMA,,2839
RUZHDI JASHARI,10,LËVIZJA VETËVENDOSJE!,,1802
SABIHA SHALA,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,4105
SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,6695
SALI ASLLANAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,9792
SALI KELMENDI,31,NISMA - NISMA PËR KOSOVËN,,391
SALIH SALIHU,10,LËVIZJA VETËVENDOSJE!,,4929
SALIH ZYBA,10,LËVIZJA VETËVENDOSJE!,,2893
SAMI KAFEXHOLLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,2832
SAMI KURTESHI,10,LËVIZJA VETËVENDOSJE!,,12614
SAMIDIN DAUTI,10,LËVIZJA VETËVENDOSJE!,,814
SELAJDIN BYTYÇI,93,SELAJDIN BYTYÇI,,81
SELAMI SAITI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,505
SELATIN RETKOCERI,10,LËVIZJA VETËVENDOSJE!,,2520
SELIM KRYEZIU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,5150
SELIM PACOLLI,34,AKR - ALEANCA KOSOVA E RE,,8965
SELIM SHABANI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,2451
SENCAR KARAMUÇO,22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,,3659
ŠERIF AGA,74,KOALICIJA VAKAT,,1427
SHABAN SHABANI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,4962
SHAIP SHALA,59,SHAIP SHALA,,26
SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,5102
SHAQIR BEGAJ,34,AKR - ALEANCA KOSOVA E RE,,193
SHAQIR TOTAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,19869
SHEMSEDIN HASHANI,34,AKR - ALEANCA KOSOVA E RE,,231
SHEMSI ELEZI,10,LËVIZJA VETËVENDOSJE!,,874
SHKELQIM JAKUPI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,2985
SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,97
SHPEND AHMETI,10,LËVIZJA VETËVENDOSJE!,,38294
SHYQIRI BYTYQI,31,NISMA - NISMA PËR KOSOVËN,,611
SLAVIŠA BIŠEVAC,24,GI GRAÐANSKA INICIJATIVA ZA ZUBIN POTOK,,679
SMAJL LATIFI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,7766
SOKOL BASHOTA,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6816
SOKOL HALITI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,10768
SRDJAN POPOVIĆ,29,SRPSKA LISTA,,6985
STEVAN VULOVIĆ,29,SRPSKA LISTA,,2691
STRAHINJA SPASIĆ,29,SRPSKA LISTA,,985
SVETISLAV IVANOVIĆ,29,SRPSKA LISTA,,3097
SYLË GAXHERRI,10,LËVIZJA VETËVENDOSJE!,,307
TAHIR ISUFAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,617
VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,9119
VETON QIPA,30,ALTERNATIVA,,203
VISAR KORENICA,10,LËVIZJA VETËVENDOSJE!,,3513
VLADICA ARITONOVIĆ,29,SRPSKA LISTA,,2329
VUČINA JANKOVIĆ,29,SRPSKA LISTA,,2863
XHAFER GASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,5837
XHAFER TAHIRI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,7842
XHAVIT DRENORI,51,IQ VIZIONI PËR DRENASIN,,993
XHAVIT ZARIQI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2289
XHEMAJL HASANI,31,NISMA - NISMA PËR KOSOVËN,,242
XHEVDET MALOKU,46,FJALA,,322
YLBER ISLAMI,9,YLBER ISLAMI,,40
ZAFIR BERISHA,31,NISMA - NISMA PËR KOSOVËN,,5404
ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,2133
ZENUN ELEZAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,4594
ZENUN PAJAZITI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,8182
ZORAN TODIĆ,29,SRPSKA LISTA,,5105
