id,Polling Center,Polling Station,Candidate,Party_ID,Party,Acronym,Votes,Municipality
11,1109B,1109B/02R,BASRI BRAHIMI,14,BASRI BRAHIMI,,4,Mitrovicë
11,1109B,1109B/01R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,64,Mitrovicë
11,1109B,1109B/02R,NYSTRET PRETENI,46,FJALA,,1,Mitrovicë
11,1109B,1109B/02R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1,Mitrovicë
11,1109B,1109B/02R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,54,Mitrovicë
11,1109B,1109B/03R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,64,Mitrovicë
11,1109B,1109B/03R,MEHMET MEHMETI,30,ALTERNATIVA,,1,Mitrovicë
11,1109B,1109B/02R,FISNIK GJINAJ,56,FISNIK GJINAJ,,13,Mitrovicë
11,1109B,1109B/01R,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2,Mitrovicë
11,1109B,1109B/02R,MEHMET MEHMETI,30,ALTERNATIVA,,5,Mitrovicë
11,1109B,1109B/03R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,36,Mitrovicë
11,1109B,1109B/01R,FISNIK GJINAJ,56,FISNIK GJINAJ,,16,Mitrovicë
11,1109B,1109B/02R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,68,Mitrovicë
11,1109B,1109B/01R,NYSTRET PRETENI,46,FJALA,,2,Mitrovicë
11,1109B,1109B/03R,FISNIK GJINAJ,56,FISNIK GJINAJ,,5,Mitrovicë
11,1109B,1109B/04D,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,39,Mitrovicë
11,1109B,1109B/01R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,86,Mitrovicë
11,1109B,1109B/04D,ESAT PECI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2,Mitrovicë
11,1109B,1109B/01R,BASRI BRAHIMI,14,BASRI BRAHIMI,,2,Mitrovicë
11,1109B,1109B/04D,FISNIK GJINAJ,56,FISNIK GJINAJ,,3,Mitrovicë
11,1109B,1109B/04D,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,48,Mitrovicë
11,1109B,1109B/03R,NYSTRET PRETENI,46,FJALA,,2,Mitrovicë
11,1109B,1109B/04D,NYSTRET PRETENI,46,FJALA,,3,Mitrovicë
11,1109B,1109B/01R,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,,71,Mitrovicë
11,1109B,1109B/03R,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,53,Mitrovicë
11,1109B,1109B/01R,MEHMET MEHMETI,30,ALTERNATIVA,,1,Mitrovicë
11,1109B,1109B/01R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,0,Mitrovicë
11,1109B,1109B/03R,QAZIM SHALA,31,NISMA - NISMA PËR KOSOVËN,,3,Mitrovicë
11,1109B,1109B/03R,BASRI BRAHIMI,14,BASRI BRAHIMI,,8,Mitrovicë
11,1109B,1109B/04D,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,74,Mitrovicë
11,1109B,1109B/03R,FEHMI FERATI,10,LËVIZJA VETËVENDOSJE!,,51,Mitrovicë
11,1109B,1109B/02R,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,70,Mitrovicë
11,1109B,1109B/04D,SAFET KAMBERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,41,Mitrovicë
