id,Polling Center,Candidate,Party_ID,Party,Acronym,Votes,Municipality
1,CB101,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,15,Deçan
1,CB101,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,18,Deçan
1,CB101,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,3,Deçan
1,CB101,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,21,Deçan
10,1001D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,12,Kamenicë
10,1001D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,112,Kamenicë
10,1001D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,579,Kamenicë
10,1001D,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,441,Kamenicë
10,1001D,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,814,Kamenicë
10,1001D,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,415,Kamenicë
10,1001X,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,22,Kamenicë
10,1001X,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,104,Kamenicë
10,1001X,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,362,Kamenicë
10,1001X,KUJTIM GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,299,Kamenicë
10,1001X,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,,661,Kamenicë
10,1001X,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,374,Kamenicë
10,1002D,ALBERT SERMAXHAJ,31,NISMA - NISMA PËR KOSOVËN,,5,Kamenicë
10,1002D,AMIR CANAJ,34,AKR - ALEANCA KOSOVA E RE,,45,Kamenicë
10,1002D,FATON JAKUPI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,73,Kamenicë
