id,Candidate,Party_ID,Party,Acronym,Votes,Municipality
21,MUSA DERVISHAJ,34,AKR - ALEANCA KOSOVA E RE,,1474,Skënderaj
22,FATMIR RASHITI,54,FATMIR RASHITI,,3474,Shtime
22,MEHDI SALI,38,MEHDI SALI,,197,Shtime
22,NAIM ISMAJLI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,4983,Shtime
22,RUZHDI JASHARI,10,LËVIZJA VETËVENDOSJE!,,1802,Shtime
22,SELIM SHABANI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,2451,Shtime
23,BRATISLAV NIKOLIĆ,29,SRPSKA LISTA,,5613,Shtërpcë
23,FIKRIH HASANI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,1014,Shtërpcë
23,JONUZ AHMETI,28,IQ INICIATIVA SHQIPËTARE PËR SYRINIKË,,1001,Shtërpcë
24,BAJRAM TËRSHANI,34,AKR - ALEANCA KOSOVA E RE,,286,Suharekë
24,BALI MUHARREMAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,11495,Suharekë
24,BLERIM XHEMAJLI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,3561,Suharekë
24,KADRI BALAJ,31,NISMA - NISMA PËR KOSOVËN,,740,Suharekë
24,SALI ASLLANAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,9792,Suharekë
24,SALIH ZYBA,10,LËVIZJA VETËVENDOSJE!,,2893,Suharekë
24,SHAIP SHALA,59,SHAIP SHALA,,26,Suharekë
25,AGIM ALIU,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,19961,Ferizaj
25,AMIR REXHEPI,34,AKR - ALEANCA KOSOVA E RE,,910,Ferizaj
25,BASHKIM FAZLIU,72,IQ NISMA QYTETARE PËR FERIZAJ,,244,Ferizaj
25,BESNIK BERISHA,31,NISMA - NISMA PËR KOSOVËN,,448,Ferizaj
25,FATON TOPALLI,10,LËVIZJA VETËVENDOSJE!,,10604,Ferizaj
25,MUHAREM SVARQA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,15975,Ferizaj
25,QAZIM RAHMANI,77,PAI - PARTIA E ASHKANLIVE PËR INTEGRIM,,548,Ferizaj
25,XHAVIT ZARIQI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2289,Ferizaj
26,BESIM HALIMI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,4081,Viti
26,FARUK NURA,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1072,Viti
26,SALIH SALIHU,10,LËVIZJA VETËVENDOSJE!,,4929,Viti
26,SOKOL HALITI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,10768,Viti
27,ABDULLAH VOJVODA,31,NISMA - NISMA PËR KOSOVËN,,852,Vushtrri
27,BESIM MUZAQI,10,LËVIZJA VETËVENDOSJE!,,7679,Vushtrri
27,FERIT IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,10184,Vushtrri
27,LUTFI BILALLI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1591,Vushtrri
27,NASUF ALIU,34,AKR - ALEANCA KOSOVA E RE,,2442,Vushtrri
27,XHAFER TAHIRI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,7842,Vushtrri
28,SLAVIŠA BIŠEVAC,24,GI GRAÐANSKA INICIJATIVA ZA ZUBIN POTOK,,679,Zubin Potoku
28,STEVAN VULOVIĆ,29,SRPSKA LISTA,,2691,Zubin Potoku
29,DRAGIŠA MILOVIĆ,81,GI ZA NAŠ ZVEČAN,,1193,Zveçan
29,VUČINA JANKOVIĆ,29,SRPSKA LISTA,,2863,Zveçan
3,ARTA AHMETI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,591,Drenas
3,BEDRI NIKA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,430,Drenas
3,IDRIZ HAJDARI,83,IQ INCIATIVA QYTETARE PËR DRENASIN,,525,Drenas
3,ISA XHEMAJLAJ,31,NISMA - NISMA PËR KOSOVËN,,5800,Drenas
3,PETRIT SINANI,34,AKR - ALEANCA KOSOVA E RE,,553,Drenas
3,RAMIZ LLADROVCI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,14074,Drenas
3,SHEMSI ELEZI,10,LËVIZJA VETËVENDOSJE!,,874,Drenas
3,XHAVIT DRENORI,51,IQ VIZIONI PËR DRENASIN,,993,Drenas
30,ADEM BERISHA,10,LËVIZJA VETËVENDOSJE!,,3064,Malishevë
30,BEDRI BYTYÇI,46,FJALA,,132,Malishevë
30,KAJTAZ GASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,468,Malishevë
30,MURSEL GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6116,Malishevë
30,NEXHAT KRASNIQI,13,NEXHAT KRASNIQI,,227,Malishevë
30,RAGIP BEGAJ,31,NISMA - NISMA PËR KOSOVËN,,9015,Malishevë
30,SAMI KAFEXHOLLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,2832,Malishevë
30,SELAJDIN BYTYÇI,93,SELAJDIN BYTYÇI,,81,Malishevë
30,SHAQIR BEGAJ,34,AKR - ALEANCA KOSOVA E RE,,193,Malishevë
31,AGRON KUÇI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1499,Junik
31,FATOS SHALA,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,167,Junik
31,SYLË GAXHERRI,10,LËVIZJA VETËVENDOSJE!,,307,Junik
31,TAHIR ISUFAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,617,Junik
32,ABDÜLHADİ KRASNİÇ,22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,,1393,Mamushë
32,ARİF BÜTÜÇ,95,KTAP - KOSOVA TÜRK ADALET PARTiSi,,1129,Mamushë
32,RİZA KRUEZİ,20,RİZA KRUEZİ,,58,Mamushë
33,FLORIM SHKRETA,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,1732,Hani i Elezit
33,HYRIJETE ISUFI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,375,Hani i Elezit
33,RUFKI SUMA,39,RUFKI SUMA,,2839,Hani i Elezit
34,ALEKSANDAR ČOLIĆ,42,GI NOVI POĆETAK,,995,Graçanicë
34,SRDJAN POPOVIĆ,29,SRPSKA LISTA,,6985,Graçanicë
35,BOBAN JEVTIĆ,57,GI SDP - OLIVER IVANOVIĆ,,212,Ranillug
35,BOJAN ARSIĆ,8,PDS - PROGRESIVNA DEMOKRATSKA STRANKA,,343,Ranillug
35,GRADIMIR MIKIĆ,29,SRPSKA LISTA,,110,Ranillug
35,IVAN DIMIĆ,23,NSK - NAPREDNA SNAGA KOSOVA,,123,Ranillug
35,VLADICA ARITONOVIĆ,29,SRPSKA LISTA,,2329,Ranillug
36,DRAGAN PETKOVIC,29,SRPSKA LISTA,,1571,Partesh
36,NENAD CVETKOVIĆ,67,GI GRAÐANSKA INICIJATIVA NARODNA SLOGA,,1059,Partesh
37,BOŽIDAR DEJANOVIĆ,41,GI KLOKOT-VRBOVAC,,856,Kllokot
37,MERVAN REXHEPI,31,NISMA - NISMA PËR KOSOVËN,,106,Kllokot
37,NASER SHABANI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,57,Kllokot
37,NEHAT REXHEPI,12,IQ INICIATIVA SHQIPËTARE PËR KLLOKOT,,299,Kllokot
37,STRAHINJA SPASIĆ,29,SRPSKA LISTA,,985,Kllokot
38,BETIM OSMANI,34,AKR - ALEANCA KOSOVA E RE,,354,Mitrovicë e Veriut
38,GONXHE ÇAUSHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,763,Mitrovicë e Veriut
38,GORAN RAKIĆ,29,SRPSKA LISTA,,5372,Mitrovicë e Veriut
38,OLIVER IVANOVIĆ,57,GI SDP - OLIVER IVANOVIĆ,,1475,Mitrovicë e Veriut
4,BAJRAM HASANI,31,NISMA - NISMA PËR KOSOVËN,,678,Gjilan
