Candidate,Gender,Party_ID,Party,Acronym,Votes
ERMAL DUMANI,M,61,LËVIZJA VETËVENDOSJE!,,86
ERMAL KUSARI,M,61,LËVIZJA VETËVENDOSJE!,,81
ERMAL LAHU,M,70,Partia e Drejtësisë - PD,,1293
ERMAL LAHU,M,70,PARTIA E DREJTËSISË - PD,,31
ERMAL SHKODRA,M,118,PSD - Partia Socialdemokrate e Kosovës,,35
ERMIN LLOZHANI,M,111,ADK - ALTERNATIVA DEMOKRATIKE E KOSOVËS,,15
ERMINA JONUZI,F,97,NDS - NOVA DEMOKRATSKA STRANKA,,143
ERMIR OSMANI,M,70,Partia e Drejtësisë - PD,,31
ERMIRA CAKAJ,F,70,Partia e Drejtësisë - PD,,0
ERMIRA HALITI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,97
ERNAD GASHI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,191
ERNESTA ASLANI,F,97,NDS - NOVA DEMOKRATSKA STRANKA,,38
ERODITA SELIMI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,106
EROL HUNILER,M,102,KDTP - Kosova Demokratik Türk Partisi,,64
EROL SISKO,M,90,KTAP - KOSOVA TÜRK ADALET PARTISI,,71
EROLL BEGO,M,74,BD - BASHKIMI DEMOKRATIK,,7
EROLL BEQIRI,M,121,Lëvizja Për Bashkim - LB,,13
EROLL SPAHIJA,M,70,Partia e Drejtësisë - PD,,14
EROLL VENHARI,M,70,Partia e Drejtësisë - PD,,43
EROLL ZEKERIJA,M,102,KDTP - Kosova Demokratik Türk Partisi,,386
EROLL ZEKERIJA,M,102,KDTP - KOSOVA DEMOKRATIK TÜRK PARTISI,,12
ERONA KAMBERI,F,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,180
ERRNIM GJEMAJLI,M,95,PARTIA E ASHKALINJËVE PËR INTEGRIM - PAI,,24
ERSED BISLIMI,M,64,CDU - CENTAR DEMOKRATSKE UNIJE,,25
ERTON MALUSHAGA,M,70,Partia e Drejtësisë - PD,,92
ERXHAN ADILOVCI,M,44,LËVIZJA REPUBLIKANE,,57
ERZE DINARAMA,F,120,Partia e Fortë - PF,,49
ESAD AMZA,M,50,VAKAT - KOALICIJA VAKAT,,73
ESAD HAXHIJAHA,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,33
ESAD KODRA,M,70,Partia e Drejtësisë - PD,,36
ESAD SHEHU,M,61,LËVIZJA VETËVENDOSJE!,,69
ESAT BEKA,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,215
ESAT HOTI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,164
ESAT KASAPI,M,70,Partia e Drejtësisë - PD,,15
ESAT KRASNIQI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,291
ESAT RACI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,5450
ESAT SADIKU,M,121,Lëvizja Për Bashkim - LB,,77
ESENGUL DINOVCI,F,102,KDTP - Kosova Demokratik Türk Partisi,,67
ESET UJKANI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,572
ESHEREF HAXHIU,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,180
ESHREF FERIZI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,22
ESHREF MEMAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,626
ESIN SHISHKO-ZHUBI,F,90,KTAP - KOSOVA TÜRK ADALET PARTISI,,52
ESMA MUSTAFA,F,61,LËVIZJA VETËVENDOSJE!,,38
ESMET LUSHI,M,61,LËVIZJA VETËVENDOSJE!,,19
ESMIR MEHMETI,M,70,Partia e Drejtësisë - PD,,13
ETHEM ROGOVA,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,90
ETIBON FETAJ,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,138
ETNIKE KRIVAQA,F,89,AKR - ALEANCA KOSOVA E RE,,33
ETOR HOXHA,M,89,AKR - ALEANCA KOSOVA E RE,,299
EVREN KOSUMI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,166
EVZI HAXHOVIQ,M,48,PREBK - PARTIA ROME E BASHKUAR E KOSOVËS,,117
FABIR BUDALI,M,61,LËVIZJA VETËVENDOSJE!,,24
FABJAN PALUCAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,84
FADIL ADEMAJ,M,70,Partia e Drejtësisë - PD,,35
FADIL BAHTIRI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,85
FADIL BEQIRAJ,M,89,AKR - ALEANCA KOSOVA E RE,,15
FADIL BERISHA,M,136,Crnogorska Liberalna Stranka - CLS,,0
FADIL BUNJAKU,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,116
FADIL DANI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,40
FADIL DESTANI,M,61,LËVIZJA VETËVENDOSJE!,,28
FADIL DINI,M,61,LËVIZJA VETËVENDOSJE!,,71
FADIL FAZLIJA,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,87
FADIL FAZLIU,M,121,Lëvizja Për Bashkim - LB,,54
FADIL GASHI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,234
FADIL GASHI,M,70,Partia e Drejtësisë - PD,,44
FADIL GASHI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,3497
FADIL GASHI,M,89,AKR - ALEANCA KOSOVA E RE,,122
FADIL GASHI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,3
FADIL GEGA,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,264
FADIL HAJDARI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,309
FADIL HALILI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,333
FADIL HALIMI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,26
FADIL ISMALI,M,122,PDAK - Partia Demokratike e Ashkanlive të Kosovës,,2
FADIL JAVORI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,90
FADIL KLEQKA,M,61,LËVIZJA VETËVENDOSJE!,,20
FADIL KRASNIQI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,5526
FADIL KRASNIQI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,62
FADIL KRYEZIU,M,85,NISMA QYTETARE PËR PRIZRENIN,,922
FADIL MATOSHI,M,105,NISMA E BALLIT PËR GJILAN,,0
FADIL MEHMETI,M,121,Lëvizja Për Bashkim - LB,,32
