id,Party_ID,Party,Votes,Municipality
13,46,NOVA DEMOKRATSKA STRANKA,5,Lipjan
13,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,4,Lipjan
13,48,KOALICIJA ZA GORA,5,Lipjan
13,49,PARTIA E ASHKALINJEVE PER INTEGRIM,332,Lipjan
13,50,STRANKA DEMOKRATSKE AKCIJE,18,Lipjan
13,51,CENTAR DEMOKRATSKE UNIJE,4,Lipjan
13,52,KOSOVA TÜRK ADALET PARTISI,34,Lipjan
13,53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,8,Lipjan
13,41,SOCIJALDEMOKRATIJA,13,Lipjan
13,42,KOSOVAKI NEVI ROMANI PARTIA,16,Lipjan
13,43,BOŠNJAČKA JEDINSTVENA LISTA,6,Lipjan
13,57,KOSOVA DEMOKRATIK TÜRK PARTISI,147,Lipjan
13,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,8798,Lipjan
13,59,NISMA PËR KOSOVËN,2773,Lipjan
13,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,20,Lipjan
13,56,SAMOSTALNA LIBERALNA STRANKA,7,Lipjan
13,54,LIDHJA DEMOKRATIKE E KOSOVËS,8096,Lipjan
13,55,POKRET ZA GORA,9,Lipjan
14,46,NOVA DEMOKRATSKA STRANKA,1,Novobërdë
14,45,HASAN GASHI,1,Novobërdë
14,50,STRANKA DEMOKRATSKE AKCIJE,0,Novobërdë
14,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,Novobërdë
14,48,KOALICIJA ZA GORA,2,Novobërdë
14,49,PARTIA E ASHKALINJEVE PER INTEGRIM,0,Novobërdë
14,41,SOCIJALDEMOKRATIJA,6,Novobërdë
14,42,KOSOVAKI NEVI ROMANI PARTIA,0,Novobërdë
14,43,BOŠNJAČKA JEDINSTVENA LISTA,0,Novobërdë
14,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,227,Novobërdë
14,31,PARTIA LIBERALE EGJIPTIANE,3,Novobërdë
14,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,7,Novobërdë
14,33,PROGRESIVNA DEMOKRATSKA STRANKA,437,Novobërdë
14,34,PARTIA ROME E BASHKUAR E KOSOVËS,5,Novobërdë
14,35,LËVIZJA VETËVENDOSJE!,320,Novobërdë
14,36,KOALICIJA VAKAT,5,Novobërdë
14,37,PARTIA E FORTË,12,Novobërdë
14,38,SRPSKA LISTA,1812,Novobërdë
14,39,POKRET ZA DEMOKRATSKI PROSPERITET,152,Novobërdë
14,40,ALEANCA KOSOVA E RE,237,Novobërdë
14,53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,1,Novobërdë
14,54,LIDHJA DEMOKRATIKE E KOSOVËS,464,Novobërdë
14,55,POKRET ZA GORA,0,Novobërdë
14,56,SAMOSTALNA LIBERALNA STRANKA,1,Novobërdë
14,57,KOSOVA DEMOKRATIK TÜRK PARTISI,4,Novobërdë
14,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,279,Novobërdë
14,59,NISMA PËR KOSOVËN,41,Novobërdë
14,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,0,Novobërdë
14,52,KOSOVA TÜRK ADALET PARTISI,0,Novobërdë
14,51,CENTAR DEMOKRATSKE UNIJE,1,Novobërdë
15,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,9,Obiliq
15,33,PROGRESIVNA DEMOKRATSKA STRANKA,164,Obiliq
15,59,NISMA PËR KOSOVËN,260,Obiliq
15,51,CENTAR DEMOKRATSKE UNIJE,1,Obiliq
15,52,KOSOVA TÜRK ADALET PARTISI,6,Obiliq
15,53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,5,Obiliq
15,54,LIDHJA DEMOKRATIKE E KOSOVËS,2726,Obiliq
