id,Party_ID,Party,Votes,Municipality
15,109,INICIATIVA QYTETARE PËR OBILIQ,4679,Obiliq
15,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,536,Obiliq
15,140,LËVIZJA PËR BASHKIM,1101,Obiliq
15,144,LËVIZJA VETËVENDOSJE!,2198,Obiliq
15,147,SRPSKA LISTA,1123,Obiliq
15,149,ALEANCA KOSOVA E RE,178,Obiliq
15,160,LIDHJA DEMOKRATIKE E KOSOVËS,1160,Obiliq
15,177,PARTIA DEMOKRATIKE E KOSOVËS,409,Obiliq
16,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,8093,Rahovec
16,144,LËVIZJA VETËVENDOSJE!,4472,Rahovec
16,147,SRPSKA LISTA,272,Rahovec
16,160,LIDHJA DEMOKRATIKE E KOSOVËS,3901,Rahovec
16,177,PARTIA DEMOKRATIKE E KOSOVËS,3594,Rahovec
17,106,BOSNJACKA INICIJATIVA PEC,741,Pejë
17,108,PARTIA BALLISTE,20,Pejë
17,110,INICJATIVA BOŠNJAČKOG JEDINTSVA,533,Pejë
17,112,PARTIA DEMOKRATIKE E UNITETIT,69,Pejë
17,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,6958,Pejë
17,124,PARTIA LIBERALE EGJIPTIANE,513,Pejë
17,144,LËVIZJA VETËVENDOSJE!,6913,Pejë
17,147,SRPSKA LISTA,410,Pejë
17,160,LIDHJA DEMOKRATIKE E KOSOVËS,16040,Pejë
17,177,PARTIA DEMOKRATIKE E KOSOVËS,4787,Pejë
18,107,K.P,278,Podujevë
18,119,NISMA SOCIALDEMOKRATE,295,Podujevë
18,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,2678,Podujevë
18,142,PARTIA E DREJTËSISË,309,Podujevë
18,144,LËVIZJA VETËVENDOSJE!,13243,Podujevë
18,154,ORGANIZATA BALLI KOMBËTAR DEMOKRAT,499,Podujevë
18,160,LIDHJA DEMOKRATIKE E KOSOVËS,13612,Podujevë
18,169,UNIONI I BLAKÇORVE,380,Podujevë
18,175,INICIATIVA QYTETARE PËR NDRYSHIM,111,Podujevë
18,177,PARTIA DEMOKRATIKE E KOSOVËS,3960,Podujevë
19,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,621,Prishtinë
19,108,PARTIA BALLISTE,84,Prishtinë
19,119,NISMA SOCIALDEMOKRATE,790,Prishtinë
19,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,8638,Prishtinë
19,140,LËVIZJA PËR BASHKIM,2319,Prishtinë
19,144,LËVIZJA VETËVENDOSJE!,26962,Prishtinë
