id,Party_ID,Party,Acronym,Votes,Municipality
15,116,Lëvizja për Bashkëveprim,LpB,11,Obiliq
15,117,Partia Rome e Bashkuar e Kosovës,PREBK,46,Obiliq
15,118,Srpski Demokratski Savez,SDS,6,Obiliq
15,119,Srpska Lista,SL,938,Obiliq
15,120,Partia Balliste,PB,5,Obiliq
15,121,Nisma Socialdemokrate,NISMA,116,Obiliq
15,122,Koalicija Zajeno,KZ,3,Obiliq
15,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,18,Obiliq
15,124,Romani Iniciyativa,RI,128,Obiliq
15,125,Socialdemokratska Unija,SDU,8,Obiliq
15,126,Kosovaki Nevi Romani Partia,KNRP,7,Obiliq
15,127,Lëvizja VETËVENDOSJE!,LV,6692,Obiliq
15,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,59,Obiliq
15,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,3,Obiliq
15,130,Partia e Ashkalinjëve për Integrim,PAI,81,Obiliq
15,131,Nova Demokratska Stranka,NDS,1,Obiliq
15,132,Lidhja Demokratike e Kosovës,LDK,1184,Obiliq
15,133,Naša Inicijativa,NAŠA,11,Obiliq
15,134,Partia Demokratike e Kosovës,PDK,1290,Obiliq
15,135,Aleanca për Ardhmërinë e Kosovës,AAK,1814,Obiliq
15,136,Partia Liberale Egjiptiane,PLE,27,Obiliq
15,137,Jedinstvena Goranska Partija,JGP,2,Obiliq
16,113,Koalicija VAKAT,VAKAT,37,Rahovec
16,114,Yenilikçi Türk Hareket Partisi,YTHP,9,Rahovec
16,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,3,Rahovec
16,116,Lëvizja për Bashkëveprim,LpB,47,Rahovec
16,117,Partia Rome e Bashkuar e Kosovës,PREBK,20,Rahovec
16,118,Srpski Demokratski Savez,SDS,6,Rahovec
16,119,Srpska Lista,SL,303,Rahovec
16,120,Partia Balliste,PB,1,Rahovec
16,121,Nisma Socialdemokrate,NISMA,224,Rahovec
16,122,Koalicija Zajeno,KZ,1,Rahovec
16,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,21,Rahovec
16,124,Romani Iniciyativa,RI,8,Rahovec
16,112,Kosova Demokratik Türk Partisi,KDTP,22,Rahovec
16,111,Iniciativa e Re Demokratike e Kosovës,IRDK,70,Rahovec
16,126,Kosovaki Nevi Romani Partia,KNRP,14,Rahovec
16,127,Lëvizja VETËVENDOSJE!,LV,11743,Rahovec
16,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,31,Rahovec
16,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,6,Rahovec
16,130,Partia e Ashkalinjëve për Integrim,PAI,9,Rahovec
16,131,Nova Demokratska Stranka,NDS,13,Rahovec
16,132,Lidhja Demokratike e Kosovës,LDK,3087,Rahovec
16,133,Naša Inicijativa,NAŠA,24,Rahovec
16,134,Partia Demokratike e Kosovës,PDK,3613,Rahovec
16,135,Aleanca për Ardhmërinë e Kosovës,AAK,4398,Rahovec
16,136,Partia Liberale Egjiptiane,PLE,16,Rahovec
16,137,Jedinstvena Goranska Partija,JGP,4,Rahovec
16,125,Socialdemokratska Unija,SDU,8,Rahovec
16,138,FJALA,FJALA,62,Rahovec
17,126,Kosovaki Nevi Romani Partia,KNRP,22,Pejë
17,127,Lëvizja VETËVENDOSJE!,LV,23822,Pejë
17,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,29,Pejë
17,125,Socialdemokratska Unija,SDU,282,Pejë
17,130,Partia e Ashkalinjëve për Integrim,PAI,12,Pejë
17,131,Nova Demokratska Stranka,NDS,358,Pejë
17,132,Lidhja Demokratike e Kosovës,LDK,8643,Pejë
17,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,139,Pejë
17,134,Partia Demokratike e Kosovës,PDK,4303,Pejë
17,135,Aleanca për Ardhmërinë e Kosovës,AAK,6807,Pejë
17,136,Partia Liberale Egjiptiane,PLE,474,Pejë
17,133,Naša Inicijativa,NAŠA,34,Pejë
17,111,Iniciativa e Re Demokratike e Kosovës,IRDK,705,Pejë
17,112,Kosova Demokratik Türk Partisi,KDTP,22,Pejë
17,113,Koalicija VAKAT,VAKAT,462,Pejë
17,114,Yenilikçi Türk Hareket Partisi,YTHP,5,Pejë
17,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,14,Pejë
17,116,Lëvizja për Bashkëveprim,LpB,16,Pejë
17,117,Partia Rome e Bashkuar e Kosovës,PREBK,115,Pejë
17,118,Srpski Demokratski Savez,SDS,3,Pejë
17,119,Srpska Lista,SL,438,Pejë
17,120,Partia Balliste,PB,13,Pejë
17,121,Nisma Socialdemokrate,NISMA,219,Pejë
17,122,Koalicija Zajeno,KZ,9,Pejë
17,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,73,Pejë
17,124,Romani Iniciyativa,RI,4,Pejë
17,138,FJALA,FJALA,104,Pejë
17,137,Jedinstvena Goranska Partija,JGP,29,Pejë
18,138,FJALA,FJALA,33,Podujevë
18,112,Kosova Demokratik Türk Partisi,KDTP,16,Podujevë
18,113,Koalicija VAKAT,VAKAT,33,Podujevë
18,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,49,Podujevë
18,116,Lëvizja për Bashkëveprim,LpB,19,Podujevë
18,117,Partia Rome e Bashkuar e Kosovës,PREBK,7,Podujevë
18,114,Yenilikçi Türk Hareket Partisi,YTHP,7,Podujevë
18,119,Srpska Lista,SL,1,Podujevë
18,120,Partia Balliste,PB,0,Podujevë
18,121,Nisma Socialdemokrate,NISMA,542,Podujevë
18,118,Srpski Demokratski Savez,SDS,0,Podujevë
18,137,Jedinstvena Goranska Partija,JGP,4,Podujevë
