id,Polling Center,Party_ID,Party,Acronym,Votes,Municipality
1,0107C,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0107C,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0107C,131,Nova Demokratska Stranka,NDS,0,Deçan
1,0107C,132,Lidhja Demokratike e Kosovës,LDK,16,Deçan
1,0107C,133,Naša Inicijativa,NAŠA,0,Deçan
1,0107C,134,Partia Demokratike e Kosovës,PDK,9,Deçan
1,0107C,135,Aleanca për Ardhmërinë e Kosovës,AAK,542,Deçan
1,0107C,136,Partia Liberale Egjiptiane,PLE,5,Deçan
1,0107C,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,0107C,138,FJALA,FJALA,3,Deçan
1,0108C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,1,Deçan
1,0108C,112,Kosova Demokratik Türk Partisi,KDTP,1,Deçan
1,0108C,113,Koalicija VAKAT,VAKAT,1,Deçan
1,0108C,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0108C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,1,Deçan
1,0108C,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,0108C,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,0108C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0108C,119,Srpska Lista,SL,1,Deçan
1,0108C,120,Partia Balliste,PB,0,Deçan
1,0108C,121,Nisma Socialdemokrate,NISMA,15,Deçan
1,0108C,122,Koalicija Zajeno,KZ,0,Deçan
1,0108C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,2,Deçan
1,0108C,124,Romani Iniciyativa,RI,0,Deçan
1,0108C,125,Socialdemokratska Unija,SDU,0,Deçan
1,0108C,126,Kosovaki Nevi Romani Partia,KNRP,3,Deçan
1,0108C,127,Lëvizja VETËVENDOSJE!,LV,463,Deçan
1,0108C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,0108C,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0108C,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0108C,131,Nova Demokratska Stranka,NDS,0,Deçan
1,0108C,132,Lidhja Demokratike e Kosovës,LDK,340,Deçan
1,0108C,133,Naša Inicijativa,NAŠA,0,Deçan
1,0108C,134,Partia Demokratike e Kosovës,PDK,122,Deçan
1,0108C,135,Aleanca për Ardhmërinë e Kosovës,AAK,537,Deçan
1,0108C,136,Partia Liberale Egjiptiane,PLE,1,Deçan
1,0108C,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,0108C,138,FJALA,FJALA,0,Deçan
1,0110C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,1,Deçan
1,0110C,112,Kosova Demokratik Türk Partisi,KDTP,0,Deçan
1,0110C,113,Koalicija VAKAT,VAKAT,1,Deçan
1,0110C,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0110C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,1,Deçan
1,0110C,116,Lëvizja për Bashkëveprim,LpB,2,Deçan
1,0110C,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,0110C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0110C,119,Srpska Lista,SL,0,Deçan
1,0110C,120,Partia Balliste,PB,0,Deçan
1,0110C,121,Nisma Socialdemokrate,NISMA,5,Deçan
1,0110C,122,Koalicija Zajeno,KZ,0,Deçan
1,0110C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,3,Deçan
1,0110C,124,Romani Iniciyativa,RI,0,Deçan
1,0110C,125,Socialdemokratska Unija,SDU,0,Deçan
1,0110C,126,Kosovaki Nevi Romani Partia,KNRP,0,Deçan
1,0110C,127,Lëvizja VETËVENDOSJE!,LV,293,Deçan
1,0110C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,0110C,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0110C,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0110C,131,Nova Demokratska Stranka,NDS,0,Deçan
1,0110C,132,Lidhja Demokratike e Kosovës,LDK,120,Deçan
1,0110C,133,Naša Inicijativa,NAŠA,1,Deçan
1,0110C,134,Partia Demokratike e Kosovës,PDK,28,Deçan
1,0110C,135,Aleanca për Ardhmërinë e Kosovës,AAK,517,Deçan
1,0110C,136,Partia Liberale Egjiptiane,PLE,4,Deçan
1,0110C,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,0110C,138,FJALA,FJALA,1,Deçan
1,0111C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,0,Deçan
