id,Candidate,Party_ID,Party,Votes,Municipality
20,AFRIM TEJECI,149,ALEANCA KOSOVA E RE,459,Prizren
20,ANTON QUNI,160,LIDHJA DEMOKRATIKE E KOSOVËS,9043,Prizren
20,CEMAILJ SMAILJI,150,NOVA DEMOKRATSKA STRANKA,1736,Prizren
20,LULZIM KABASHI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,2182,Prizren
20,MILAZIM LUSHAJ,180,MILAZIM LUSHAJ,153,Prizren
20,MYTAHER HASKUKA,144,LËVIZJA VETËVENDOSJE!,24378,Prizren
20,SHAQIR TOTAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,18919,Prizren
20,ZAFIR BERISHA,119,NISMA SOCIALDEMOKRATE,3452,Prizren
21,BEKIM JASHARI,113,LISTA E PAVARUR BEKIM JASHARI,9236,Skënderaj
21,FADIL NURA,177,PARTIA DEMOKRATIKE E KOSOVËS,13123,Skënderaj
21,SOKOL HALILI,116,INICIATIVA QYTETARE PËR SKENDERAJ,311,Skënderaj
22,BEDRI ZEQIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1381,Shtime
22,NAIM ISMAJLI,177,PARTIA DEMOKRATIKE E KOSOVËS,5824,Shtime
22,QEMAJL ALIU,144,LËVIZJA VETËVENDOSJE!,5964,Shtime
23,BESIM ISLAMI,144,LËVIZJA VETËVENDOSJE!,800,Shtërpcë
23,DALIBOR JEVTIC,147,SRPSKA LISTA,4148,Shtërpcë
23,FIKRIH HASANI,159,BASHKË PËR SHTËRPCËN,887,Shtërpcë
23,SLAVISA VASILJEVIC,145,GI SLOBODA ŠTRPCE,1113,Shtërpcë
24,ARDIAN SHALA,160,LIDHJA DEMOKRATIKE E KOSOVËS,8629,Suharekë
24,BALI MUHARREMAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,14483,Suharekë
24,MURTEZ ZEKOLLI,177,PARTIA DEMOKRATIKE E KOSOVËS,2428,Suharekë
24,SALIH ZYBA,144,LËVIZJA VETËVENDOSJE!,2690,Suharekë
25,AGIM ALIU,177,PARTIA DEMOKRATIKE E KOSOVËS,30627,Ferizaj
25,ARBEN HALILI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1096,Ferizaj
25,SIBEL HALIMI,160,LIDHJA DEMOKRATIKE E KOSOVËS,4585,Ferizaj
25,VALON RAMADANI,144,LËVIZJA VETËVENDOSJE!,12793,Ferizaj
26,ARSIM ADEMI,144,LËVIZJA VETËVENDOSJE!,6955,Viti
26,BEKIM AZIZI,177,PARTIA DEMOKRATIKE E KOSOVËS,4879,Viti
26,SOKOL HALITI,160,LIDHJA DEMOKRATIKE E KOSOVËS,8326,Viti
