id,Polling Center,Candidate,Party_ID,Party,Votes,Municipality
3,0308E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,537,Drenas
3,0309E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,267,Drenas
3,0309E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,485,Drenas
3,0310E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,458,Drenas
3,0310E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,588,Drenas
3,0311E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,565,Drenas
3,0311E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,311,Drenas
3,0312E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,63,Drenas
3,0312E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,177,Drenas
3,0313E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,477,Drenas
3,0313E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,483,Drenas
3,0314E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,223,Drenas
3,0314E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,375,Drenas
3,0315E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,367,Drenas
3,0315E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,408,Drenas
3,0316E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,278,Drenas
3,0316E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,470,Drenas
3,0317E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,520,Drenas
3,0317E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,592,Drenas
3,0318E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,139,Drenas
3,0318E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,217,Drenas
3,0319E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,445,Drenas
3,0319E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,430,Drenas
3,0320E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,367,Drenas
3,0320E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,436,Drenas
3,0321E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,140,Drenas
3,0321E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,350,Drenas
3,0322E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,292,Drenas
3,0322E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,251,Drenas
3,0323E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,190,Drenas
3,0323E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,244,Drenas
3,0324E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,179,Drenas
3,0324E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,105,Drenas
3,0325E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,189,Drenas
3,0325E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,255,Drenas
3,0326E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,113,Drenas
3,0326E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,169,Drenas
3,0327E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,324,Drenas
3,0327E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,317,Drenas
3,0328E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,92,Drenas
3,0328E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,190,Drenas
3,BM003,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,4,Drenas
3,BM003,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,1,Drenas
3,CB103,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,233,Drenas
3,CB103,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,307,Drenas
4,0401D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,3456,Gjilan
4,0401D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,3024,Gjilan
4,0401X,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,3751,Gjilan
4,0401X,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,3104,Gjilan
4,0402D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,1791,Gjilan
4,0402D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1686,Gjilan
4,0402X,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,1787,Gjilan
4,0402X,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1499,Gjilan
4,0403D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,1404,Gjilan
4,0403D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1242,Gjilan
4,0403X,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,1536,Gjilan
4,0403X,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1268,Gjilan
4,0404D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,733,Gjilan
4,0404D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,675,Gjilan
4,0405D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,108,Gjilan
4,0405D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,141,Gjilan
4,0406D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,627,Gjilan
4,0406D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,622,Gjilan
4,0407D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,659,Gjilan
4,0407D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,780,Gjilan
4,0408D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,243,Gjilan
4,0408D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,323,Gjilan
4,0409D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,843,Gjilan
4,0409D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,943,Gjilan
4,0410D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,534,Gjilan
4,0410D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,550,Gjilan
4,0411D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,228,Gjilan
4,0411D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,197,Gjilan
4,0412D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,2,Gjilan
4,0412D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,31,Gjilan
4,0415D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,44,Gjilan
4,0415D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,384,Gjilan
4,0420D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,103,Gjilan
4,0420D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,180,Gjilan
4,0422D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,6,Gjilan
4,0422D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,47,Gjilan
4,0423D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,624,Gjilan
4,0423D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,480,Gjilan
4,0428D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,46,Gjilan
4,0428D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,146,Gjilan
4,0429D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,557,Gjilan
4,0429D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,523,Gjilan
4,0430D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,541,Gjilan
4,0430D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,537,Gjilan
4,0434D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,4,Gjilan
4,0434D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,13,Gjilan
4,0437D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,339,Gjilan
4,0437D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,366,Gjilan
4,0438D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,74,Gjilan
4,0438D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,195,Gjilan
4,0439D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,513,Gjilan
4,0439D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,518,Gjilan
4,0440D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,196,Gjilan
4,0440D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,262,Gjilan
4,0441D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,256,Gjilan
4,0441D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,251,Gjilan
4,0442D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,104,Gjilan
4,0442D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,162,Gjilan
4,0443D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,79,Gjilan
4,0443D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,62,Gjilan
4,0444D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,70,Gjilan
4,0444D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,51,Gjilan
4,0445D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,40,Gjilan
4,0445D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,105,Gjilan
4,0446D,ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,7,Gjilan
4,0446D,LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,90,Gjilan
