id,Polling Center,Party_ID,Party,Votes,Municipality
1,0103C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,161,Deçan
1,0103C,7,POKRET ZA GORA,0,Deçan
1,0103C,8,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0103C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,6,Deçan
1,0103C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,Deçan
1,0103C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0103C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0103C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0103C,14,PARTIA LIBERALE EGJIPTIANE  %,7,Deçan
1,0103C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0103C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0103C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0103C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0103C,19,FJALA,1,Deçan
1,0103C,20,KOALICIJA VAKAT,0,Deçan
1,0103C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0103C,22,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0103C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0103C,24,KOALICIJA SDA,1,Deçan
1,0103C,25,Lëvizja VETËVENDOSJE!,67,Deçan
1,0103C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0104C,1,JEDINSTVENA GORANSKA PARTIJA,0,Deçan
1,0104C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,461,Deçan
1,0104C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,0,Deçan
1,0104C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0104C,5,GRAĐANSKA INICIJATIVA GORE,0,Deçan
1,0104C,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,133,Deçan
1,0104C,7,POKRET ZA GORA,0,Deçan
1,0104C,8,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0104C,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,1,Deçan
1,0104C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0104C,11,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
